,Attack,Defense,Overall,Standardised,Quantile
CRUSADERS,5.659722222222222,-9.269444444444446,14.929166666666667,2.080455354368264,0.9812581067193245
HURRICANES,2.168888888888888,-6.293333333333333,8.462222222222223,1.1807792798412258,0.8811547913197042
CHIEFS,1.686388888888889,-4.385000000000001,6.071388888888889,0.8481684824762409,0.8018279264587784
WARATAHS,5.841944444444445,0.5172222222222219,5.324722222222222,0.7442928204201145,0.771650328094045
LIONS,4.24388888888889,1.0922222222222218,3.151666666666667,0.441979091154833,0.6707478318547269
HIGHLANDERS,0.6019444444444443,-1.2561111111111112,1.8580555555555565,0.2620129608738136,0.6033442750818147
JAGUARES,-0.5249999999999998,-1.7166666666666677,1.1916666666666678,0.16930547825750147,0.5672218164189059
SHARKS,-0.1783333333333329,1.02111111111111,-1.1994444444444428,-0.16334396332699833,0.4351238104843593
STORMERS,-4.183333333333334,-1.8791666666666675,-2.3041666666666654,-0.3170320243378668,0.37560965138337815
BULLS,1.3283333333333331,3.9988888888888883,-2.6705555555555547,-0.36800374987805684,0.35643521905373626
BRUMBIES,-5.444444444444444,-1.8666666666666671,-3.5777777777777775,-0.4942157708138117,0.3105769015147394
REBELS,-2.078055555555556,1.7794444444444435,-3.8575,-0.5331304998653441,0.29697162371134356
BLUES,-2.633611111111111,2.0016666666666665,-4.635277777777778,-0.6413343145071424,0.26065274967065966
REDS,-4.731388888888889,3.792777777777777,-8.524166666666666,-1.1823533877161339,0.11853275508306849
SUNWOLVES,-1.7447222222222227,12.854999999999999,-14.599722222222223,-2.027579756946638,0.02130157838261097
