,Attack,Defense,Overall,Standardised,Quantile
CRUSADERS,6.483333333333334,-3.333333333333333,9.816666666666666,1.5585535179485699,0.9404489540802856
HIGHLANDERS,2.4500000000000006,-6.916666666666667,9.366666666666667,1.4839595478742174,0.9310901737048801
REBELS,7.75,0.4375,7.3125,1.1434518881829603,0.873574490270353
HURRICANES,-2.5,-9.066666666666666,6.566666666666666,1.0198192896338019,0.8460929134760121
WARATAHS,6.65,1.4500000000000002,5.2,0.7932746397783611,0.7861910855510021
SHARKS,-3.3499999999999996,-5.5375,2.1875,0.29390945122505674,0.6155864520594427
LIONS,7.0,6.21,0.7899999999999998,0.062253733049706474,0.5248196136769184
REDS,-8.375,-5.8,-2.575,-0.49554339872850717,0.31010829772393056
STORMERS,-1.65,0.9600000000000002,-2.6100000000000003,-0.5013451519565124,0.30806411672964223
BLUES,-0.5333333333333323,2.4000000000000004,-2.9333333333333327,-0.5549423008247507,0.2894670635281843
BULLS,-0.01666666666666572,2.9416666666666673,-2.958333333333333,-0.559086410273326,0.28805137445079887
CHIEFS,-0.16666666666666666,3.25,-3.4166666666666665,-0.6350617501638702,0.2626940711621827
BRUMBIES,-7.9375,-3.75,-4.1875,-0.7628384581616036,0.22277987112589287
JAGUARES,-5.0266666666666655,1.5033333333333339,-6.529999999999999,-1.151141513493094,0.12483701089007954
SUNWOLVES,-0.41249999999999964,9.4,-9.8125,-1.69526308409101,0.04501276223984941
