,Attack,Defense,Overall,Standardised,Quantile
CRUSADERS,5.359999999999999,-9.616666666666667,14.976666666666665,1.7544765494221184,0.9603255576436489
HURRICANES,5.308978675645341,-9.403142536475873,14.712121212121211,1.7234656289411157,0.957597822207466
CHIEFS,2.9653198653198647,-2.8292929292929303,5.794612794612795,0.6781248768228052,0.7511537405575683
HIGHLANDERS,2.4478114478114485,-2.9487093153759827,5.396520763187431,0.6314591711055609,0.7361298313645975
LIONS,5.76317722681359,1.6041322314049582,4.159044995408632,0.4863980408824279,0.6866575103381185
BULLS,0.34646464646464636,-2.26969696969697,2.6161616161616164,0.3055359887730845,0.6200210177840038
SHARKS,1.6467676767676764,2.1508080808080807,-0.5040404040404038,-0.06022473427318265,0.4759883231822427
WARATAHS,0.10987654320987596,0.8037037037037038,-0.6938271604938274,-0.08247218518038885,0.4671356179896015
STORMERS,0.10330578512396665,1.4438934802571162,-1.3405876951331492,-0.15828766099119945,0.4371150653362651
JAGUARES,-2.2773186409550044,-0.5829201101928373,-1.6943985307621674,-0.19976257390497767,0.4208331365042298
REBELS,0.16181818181818172,5.047575757575757,-4.885757575757575,-0.5738645660965566,0.2830297263822006
BLUES,-2.656666666666667,3.1066666666666674,-5.7633333333333345,-0.6767369895936746,0.24928642150339758
BRUMBIES,-7.38159371492705,-0.2379349046015721,-7.143658810325478,-0.8385434499558604,0.20086277780711848
REDS,-7.044444444444443,0.5493827160493834,-7.593827160493827,-0.8913137193756141,0.18638044528608833
SUNWOLVES,-5.635353535353534,12.254545454545458,-17.889898989898988,-2.098254376575659,0.017941340219471597
