,Attack,Defense,Overall
CRUSADERS,6.48,-3.33,9.82
HIGHLANDERS,2.45,-6.92,9.37
REBELS,7.75,0.44,7.31
HURRICANES,-2.50,-9.07,6.57
WARATAHS,6.65,1.45,5.20
SHARKS,-3.35,-5.54,2.19
LIONS,7.00,6.21,0.79
REDS,-8.38,-5.80,-2.58
STORMERS,-1.65,0.96,-2.61
BLUES,-0.53,2.40,-2.93
BULLS,-0.02,2.94,-2.96
CHIEFS,-0.17,3.25,-3.42
BRUMBIES,-7.94,-3.75,-4.19
JAGUARES,-5.03,1.50,-6.53
SUNWOLVES,-0.41,9.40,-9.81
