ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,STORMERS,PRE,4,4,4,0,0,0,1,0
2,JAGUARES,BUE,0,0,4,0,3,3,2,0
3,LIONS,JNB,2,1,6,0,2,1,0,0
4,SHARKS,PRE,3,2,5,1,2,2,0,0
6,CHIEFS,PRE,2,2,2,0,7,6,3,0
7,SHARKS,DUR,1,1,4,0,2,0,2,0
8,JAGUARES,PRE,1,0,5,0,3,2,1,0
9,REDS,PRE,5,2,1,0,2,2,1,0
11,STORMERS,CPT,2,2,3,0,3,3,1,0
12,WARATAHS,PRE,3,2,3,0,3,3,0,0
13,CRUSADERS,PRE,1,1,2,0,7,5,0,0
14,REBELS,MEL,4,3,2,0,3,1,0,0
15,BRUMBIES,CBR,1,1,1,0,4,1,0,0
16,BLUES,AKL,3,2,1,0,3,2,1,0
17,HIGHLANDERS,DUN,3,3,1,0,4,2,0,0
18,LIONS,PRE,7,5,1,0,2,1,4,1
