ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,HIGHLANDERS,HLZ,4,2,1,0,3,3,3,0
2,BRUMBIES,CBR,2,2,1,0,8,7,0,0
3,SUNWOLVES,HLZ,2,1,1,0,3,3,3,0
4,CRUSADERS,CHC,4,4,0,0,9,6,0,0
5,HURRICANES,HLZ,2,2,3,0,2,2,3,0
6,BULLS,PRE,7,6,3,0,2,2,2,0
7,JAGUARES,BUE,3,3,3,0,3,3,1,0
9,BLUES,HLZ,5,4,0,0,4,3,1,0
10,LIONS,HLZ,3,1,0,0,2,2,2,1
11,HURRICANES,WLG,3,2,0,0,7,6,0,0
12,HIGHLANDERS,DUN,5,3,0,0,4,4,1,0
13,SHARKS,HLZ,4,3,1,0,2,2,3,0
14,BLUES,AKL,1,0,1,0,4,0,1,0
15,REDS,HLZ,3,2,0,0,1,1,2,0
16,CRUSADERS,SUV,6,5,0,0,4,2,1,0
17,REBELS,MEL,9,7,0,0,1,0,1,0
