ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,BLUES,AKL,4,1,0,0,3,2,1,0
2,HURRICANES,CHC,6,4,0,0,4,1,0,0
3,REDS,BNE,4,1,0,0,2,1,0,0
4,CHIEFS,CHC,9,6,0,0,4,4,0,0
6,WARATAHS,SCG,2,1,0,0,3,1,1,0
