ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,KINGS,6,5,1,0,1,0,1,0
2,JAGUARES,1,1,4,0,2,1,1,0
3,STORMERS,2,1,2,0,1,1,2,0
4,BULLS,1,1,3,0,1,1,2,1
5,CRUSADERS,2,2,0,0,3,2,0,0
7,LIONS,0,0,3,0,2,1,4,0
8,BLUES,2,1,2,0,2,2,3,0
9,HIGHLANDERS,0,0,5,0,1,0,3,0
10,CHIEFS,3,2,1,0,2,1,4,0
11,HURRICANES,4,3,2,0,2,1,1,0
12,JAGUARES,1,1,6,0,3,2,1,0
13,KINGS,8,5,1,0,0,0,0,0
