ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,REDS,4,2,2,0,1,1,1,0
2,BRUMBIES,2,1,1,0,4,3,2,0
4,HIGHLANDERS,4,3,0,0,4,2,1,1
