ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,CHIEFS,2,1,3,0,4,2,1,0
2,BLUES,3,2,3,0,1,1,2,0
4,KINGS,8,7,1,0,3,3,1,0
5,SHARKS,3,2,0,0,2,2,0,0
6,LIONS,6,5,1,0,4,4,3,0
7,FORCE,3,1,1,0,1,1,4,0
8,JAGUARES,5,2,1,0,2,1,1,0
9,BRUMBIES,6,5,0,0,2,2,0,0
11,REDS,6,4,0,0,1,0,0,0
12,HIGHLANDERS,2,2,4,0,5,3,1,0
13,WARATAHS,4,3,1,0,2,0,0,0
14,BLUES,2,2,4,0,2,1,3,0
