ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,FORCE,3,2,2,0,1,1,4,0
2,BULLS,4,1,1,0,6,6,1,0
3,REDS,1,1,6,0,2,2,3,0
4,SUNWOLVES,4,3,3,0,0,0,3,0
5,HIGHLANDERS,0,0,1,0,3,3,2,0
6,WARATAHS,2,1,3,0,2,2,1,0
8,HURRICANES,2,0,1,0,6,4,1,0
