ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,HURRICANES,7,7,1,0,1,1,1,0
2,WARATAHS,4,3,2,0,2,1,1,0
3,FORCE,4,4,1,0,2,2,0,0
4,STORMERS,1,0,2,0,3,2,4,0
5,CHEETAHS,3,2,2,0,2,1,2,0
6,CHIEFS,2,2,3,0,6,3,4,0
