ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,BULLS,3,3,4,0,0,0,3,0
2,CHEETAHS,2,2,2,0,1,1,1,0
3,SHARKS,1,1,2,0,2,1,2,0
4,BRUMBIES,3,2,4,0,1,0,2,0
