ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,CRUSADERS,4,2,1,0,2,1,3,0
2,LIONS,4,3,2,0,4,2,4,0
3,KINGS,7,7,3,0,2,1,4,0
4,JAGUARES,4,2,2,0,3,1,3,0
5,FORCE,9,4,0,0,1,1,1,0
6,BRUMBIES,6,3,4,0,2,2,3,0
7,BLUES,5,2,0,0,2,2,3,0
9,HURRICANES,4,4,0,0,4,2,0,1
10,SHARKS,2,1,4,0,3,2,1,0
11,HIGHLANDERS,2,0,1,0,3,1,3,0
13,REBELS,5,4,1,1,2,1,1,0
14,WARATAHS,4,1,1,0,6,6,1,0
15,CRUSADERS,2,2,3,0,1,1,2,0
16,REDS,8,5,0,0,1,0,0,0
17,HIGHLANDERS,2,1,1,0,3,3,2,0
QF,STORMERS,8,7,2,0,3,3,0,0
SF,HURRICANES,0,0,3,0,3,2,2,0
