ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,WARATAHS,1,1,1,0,4,2,2,0
2,FORCE,0,0,2,0,1,1,5,0
3,REBELS,2,2,3,0,1,1,6,0
4,BLUES,3,2,2,0,3,2,2,0
5,WARATAHS,1,1,2,0,2,1,1,0
7,HIGHLANDERS,3,2,2,1,3,3,2,0
8,BULLS,3,2,0,1,5,5,2,0
9,STORMERS,3,2,1,0,4,4,4,0
10,CHEETAHS,3,3,3,0,2,2,1,0
11,CRUSADERS,1,0,0,0,6,4,0,0
12,HURRICANES,1,0,3,0,5,2,0,0
13,SUNWOLVES,4,3,3,0,3,2,2,0
