ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,JAGUARES,4,2,3,0,4,4,1,1
2,STORMERS,1,1,1,0,2,2,2,0
3,SUNWOLVES,4,3,2,0,4,4,1,0
4,LIONS,3,2,1,0,5,4,2,0
5,BRUMBIES,2,1,2,0,3,2,2,0
6,BULLS,2,1,2,0,3,1,2,0
8,SUNWOLVES,14,11,0,0,2,2,1,0
9,REBELS,2,2,0,0,5,4,1,0
10,REDS,2,2,1,0,3,3,3,0
11,WARATAHS,0,0,2,0,2,1,3,0
12,KINGS,4,4,2,0,2,2,2,0
14,STORMERS,2,1,4,0,3,2,4,0
15,FORCE,4,2,2,0,3,1,4,0
16,SHARKS,1,1,1,0,2,2,4,0
17,BULLS,2,2,1,0,5,3,4,0
