ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,SHARKS,1,0,1,0,6,5,1,0
3,CHIEFS,2,1,4,0,7,7,3,0
4,CRUSADERS,3,3,1,0,8,7,1,0
5,HURRICANES,2,2,2,0,5,4,3,0
6,SUNWOLVES,4,2,3,0,4,1,2,0
7,BULLS,0,0,2,0,6,4,0,0
9,LIONS,2,0,0,0,7,5,0,0
10,JAGUARES,4,2,1,0,11,9,0,0
11,BLUES,2,1,2,0,5,3,1,0
