ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,BLUES,4,4,1,0,3,3,4,0
2,HURRICANES,1,0,4,0,1,1,3,0
3,LIONS,4,4,1,1,2,1,1,0
4,WARATAHS,4,2,1,1,4,3,0,0
5,REBELS,3,3,2,0,0,0,1,0
6,FORCE,4,3,2,0,2,2,2,0
7,REDS,3,3,2,0,3,2,2,1
8,SHARKS,1,0,3,0,0,0,5,0
10,BRUMBIES,2,2,3,0,1,1,1,0
11,CHIEFS,3,1,3,0,2,0,1,0
12,CRUSADERS,5,3,1,0,2,2,4,0
14,HURRICANES,2,2,2,0,3,3,2,0
15,KINGS,7,5,1,0,2,1,2,0
16,JAGUARES,4,4,2,0,0,0,1,0
17,CHIEFS,3,3,2,0,2,1,1,0
QF,BRUMBIES,2,1,1,0,0,0,3,0
