ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,CHEETAHS,4,4,1,1,4,2,3,0
2,SHARKS,2,1,1,0,1,1,4,0
4,CHIEFS,3,1,3,0,4,2,2,0
5,STORMERS,1,0,1,0,1,1,2,0
6,BLUES,1,1,3,0,2,1,4,0
7,HURRICANES,3,2,1,0,6,5,0,0
8,CRUSADERS,2,1,1,0,5,2,1,0
9,SUNWOLVES,4,1,2,0,3,3,5,0
10,KINGS,11,9,0,0,4,2,1,0
11,SHARKS,3,2,1,0,1,1,6,0
