ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,LIONS,1,1,2,0,4,3,0,0
3,CHEETAHS,4,4,1,0,4,3,2,0
4,REBELS,0,0,3,0,4,3,3,0
5,BULLS,3,3,2,0,3,3,3,0
6,KINGS,4,1,2,0,4,2,3,0
7,STORMERS,3,2,0,0,7,4,1,0
8,CHEETAHS,2,2,1,0,14,11,0,0
9,JAGUARES,3,3,5,0,4,1,2,0
11,FORCE,4,1,0,0,6,5,0,0
