,R1,G1,B1,R2,G2,B2
AUSTIN,238,101,41,126,168,217
GLENDALE,0,101,166,254,204,0
HOUSTON,2,0,1,249,226,0
NEW ORLEANS,185,142,45,255,255,255
SAN DIEGO,255,0,0,0,0,0
SEATTLE,24,42,85,99,180,69
UTAH,0,0,0,200,28,34
